funding_per_student_usd,avg_test_score_percent,student_teacher_ratio,percent_low_income,percent_minority,internet_access_percent,dropout_rate_percent,state_California,state_Florida,state_Georgia,state_Illinois,state_Michigan,state_New York,state_North Carolina,state_Ohio,state_Pennsylvania,state_Texas,school_type_Charter,school_type_Private,school_type_Public,grade_level_Elementary,grade_level_High,grade_level_Middle
14951.05,68.2,14.9,84.3,43.4,53.0,5.2,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
13186.67,45.1,14.3,44.1,70.5,75.3,4.83,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
12300.19,43.92950439453125,15.3,53.7,60.1,56.0,10.08,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
18313.546875,45.1,27.0,45.3,86.9,95.85227966308594,14.17,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
20499.45,59.5,27.3,45.7,14.9,71.6,11.29,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
7529.05,48.3,25.5,70.0,33.7,62.7,6.05,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
15823.87,85.3,19.3,18.8,39.5,81.4,5.12,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False
23266.81,96.4,25.1,74.0,83.1,68.3,4.3,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
18227.52,48.1,22.0,42.29233169555664,73.9,56.3,3.23,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
7989.19,77.4,14.4,57.9,87.3,89.4,12.16,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
14567.8,77.3,16.6,20.4,76.8,62.3,8.54,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
15405.36,99.9,14.3,83.9,41.6,94.09589385986328,14.34,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
24558.03,62.5,16.7,92.0,62.3,79.9,14.07,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
24008.017578125,77.2,26.3,41.8,80.2,95.7,3.75,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
6857.49,81.5,26.2,82.7,72.0,55.5,13.45,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
24125.34,80.4,20.5,71.3,9.7,69.9,5.13,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
6712.11,54.7,26.9,25.7,47.4,60.0,5.58,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
6616.41,84.5,20.3,60.9,77.1,75.5078125,13.7,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
16076.69,78.5,13.7,89.6,82.6,54.5,5.85,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False
7203.75,67.1,22.2,65.0,49.4,58.6,14.9,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
17667.6,46.1,26.9,44.5,16.181188583374023,59.8,11.21,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
24602.03,46.8,13.5,35.1967887878418,50.54621505737305,73.5,11.5,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
19248.09,92.4,25.8,75.3,11.0,66.4,13.71,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
14502.9,97.9410400390625,17.4,71.2,35.0,88.0,11.86,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
23377.05,85.8,19.1,23.1,37.4,90.5,6.75,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
10336.9,77.1,24.2,52.0,84.6,68.3,8.79,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
13184.84,78.1,12.504659652709961,49.7,60.0,73.5,5.94,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
14768.73,91.3,11.2,36.0,15.0,94.3,7.55,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
5157.76,54.1,15.2,34.8,68.7,74.4,12.29,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
7190.814453125,65.5,10.7,84.9,34.6,80.1,7.54,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
17262.97,49.7,24.9,84.4,65.5,61.8,12.54,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
6110.34,41.0,11.3,26.4,32.2,60.9,8.95,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
16080.69,75.1,14.3,66.1,81.4,51.6,4.22,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
14930.51,46.3,26.8,64.5,12.6,70.1,11.95,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
20107.43,80.2,10.4,42.9,29.3,65.5,3.77,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
21795.7,93.5,16.2,77.6,32.91743850708008,94.09589385986328,5.68,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
7179.17,62.5,26.9,75.2,23.3,87.0,8.82,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False
20789.17,59.4,26.0,39.1,27.9,84.8,8.61,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
6010.14,40.5,11.4,26.81537437438965,68.1,85.4,2.64,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
5409.79,43.2,12.4,82.5,30.905651092529297,58.2,7.95,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
9228.96,82.4,13.2,32.4,33.5,91.0,4.86,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
19143.43,81.4,25.2,16.3,78.2,65.3,6.58,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
14011.98,86.0,15.2,16.6,89.1,60.8,9.55,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
19629.29,62.7,19.9,70.8,63.2,51.5,6.38,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
16179.94,73.3,15.3,19.3,49.4,83.8,12.47,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
23643.31,79.3,22.5,25.612937927246094,94.6,58.1,2.9,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
20289.75,76.5,15.5,59.3,39.6,90.6,13.24,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
8305.4208984375,67.1,17.8,90.8,44.3,61.4,8.36,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
23784.47,67.60731506347656,23.7,36.0,37.76084899902344,80.9,3.0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
17268.796875,68.6,14.9,89.3,94.3,54.9,1.62,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
17941.97,73.4,20.7,19.0,54.1,60.9,8.63,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
24110.705078125,47.8,16.0,85.0,55.7,51.227012634277344,14.65,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
6934.67,64.6,28.7,93.3,14.0,98.4,6.18,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
14402.65,96.6,14.8,27.1,13.2,70.5,12.19,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
11152.11,74.5,20.66449737548828,50.8,57.35918045043945,94.4,11.1,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
12233.55,66.7,22.2,91.2,39.4,96.2386474609375,1.04,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
9137.27,45.4,14.9,28.3,82.7,64.4,13.57,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
11673.46,83.0,21.3,60.0,28.6,83.2,8.95,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
22721.18,92.8,16.6,35.1,22.7,77.7,2.3,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
7316.46,91.7,21.892391204833984,19.5,20.9,77.0,2.91,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
8138.46,90.8,10.0,46.7,58.4,58.4,6.75,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
11160.615234375,90.0,24.4,57.0,32.7,75.07442474365234,12.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
7991.43,80.4,12.2,14.0,29.3,78.2,6.81,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
17219.41,88.4,27.0,31.3,78.4,84.66446685791016,5.78,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
17230.94,68.61237335205078,14.517707824707031,69.3,35.5,92.1,11.83,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
10080.15,57.4,16.8,60.6,40.2,95.4,1.21,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
13705.49,77.0,27.4,28.3,7.7,68.0,8.09,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
20753.33,70.2,21.6,19.0,40.5,77.8,5.58,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
22092.54,42.2,18.3,52.7,64.0,63.9,3.9,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
19831.89,58.3,16.8,89.4,94.7,78.1,0.67,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
7151.2802734375,40.7,12.2,93.8,88.1,74.4,5.54,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
20069.05,44.7,17.4,33.532936096191406,45.2,55.6,8.27,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
24162.52,66.9,23.4,66.2,33.9,94.09589385986328,8.54,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
24789.13,94.8,17.3,51.4,15.0,99.5,11.68,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
10422.95,48.3,16.7,84.1,51.7,94.6,14.34,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
21661.84,97.5,17.5,84.5,44.6,93.5,14.82,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
22386.16,71.2,19.0,46.3,7.2,87.6,6.46,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
6642.31,84.4,20.4,64.8,54.2,91.9,7.56,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
11949.515625,79.53302001953125,12.844437599182129,52.0082893371582,49.269927978515625,73.9,0.74,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
10223.65,81.0,14.3,87.2,68.3,54.3,8.19,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
12355.11,88.9,23.3,65.1,89.8,54.7,11.93,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
7886.68,70.6,22.7,48.1,45.7,91.1,14.61,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
15051.48,44.0,16.0,87.5,12.6,70.57806396484375,9.02,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
21016.89,41.6,12.0,28.00926399230957,86.7,92.5,12.6,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
17817.89,92.5,19.2,53.4,38.0,65.7,14.1,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False
23305.84,68.2,18.6,60.9,82.7,51.4,10.83,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
9551.58,77.1,22.0,46.6,46.7,82.1,1.13,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
13691.27,66.0,25.1,51.0,37.8,88.6,11.47,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
24406.3,71.7,12.3,27.7,22.7,78.1,5.73,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
10250.37,51.3,20.6,24.8,45.1,87.7,3.58,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
20918.3,48.3,23.6,68.8,11.8,83.9,13.13,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
15841.3,99.6,12.3,87.1,45.6,54.5,3.38,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
9510.39,81.9,29.3,59.6,74.9,97.1,7.31,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
9634.44921875,90.9,25.3,89.1,24.4,56.6,1.18,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
19502.61,85.53141784667969,20.3,39.4,35.8,96.4,3.31,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
19270.47,79.7,10.5,90.9,50.4,78.7,9.42,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
21964.583984375,46.0,22.1,48.2,87.8,74.9,4.48,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
23672.47,97.2,20.7,76.6,59.3,72.81330108642578,11.98,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
13650.99,51.7,16.6,36.6,40.5,75.8,12.28,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
8926.76,75.6,15.9,35.6,44.1,76.8,6.37,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
6706.94,93.9,23.1,54.1,14.5,50.9,11.68,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
7230.65,63.3,22.6,13.3,68.8,93.6,7.7,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
18101.72,71.8,26.9,57.2,43.4,69.0,5.94,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
15863.7,76.5,14.9,67.09051513671875,80.4,58.3,11.9,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
11153.0166015625,74.46488189697266,23.9,51.5,43.9,98.4,7.23,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
11543.91,61.8,27.5,69.1,85.5,53.1,13.2,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
18311.57,80.41365051269531,19.9,78.2,40.6,81.0,13.76,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
19281.68,82.29561614990234,20.9,76.4,94.6,59.4,7.76,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
9575.8,65.9,17.5,30.0,44.0,74.1,3.44,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
13924.4,91.3,23.5,26.7,89.2,68.5,14.17,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
12807.55,74.6,13.7,10.3,62.0,76.9,11.07,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
9772.35,68.9,26.3,26.3,39.1,50.4,13.72,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False
15261.23,100.0,27.6,81.8,66.5,98.4,11.92,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
8881.62,98.2,11.4,86.8,57.7,73.7,6.51,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
8649.96,85.32842254638672,26.576757431030273,44.0,51.0,80.6,6.3,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False
18430.67,51.487667083740234,13.146174430847168,78.3,28.8,94.42094421386719,5.58,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
7319.431640625,92.9,23.9,50.0,73.7,74.7,1.12,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
23941.09,64.2,28.1,56.5,41.12692642211914,52.8,2.52,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
12591.91,91.4,12.8,41.0,73.7,63.8,6.01,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False
9776.23,62.0,15.2,77.2,51.4,57.7,1.57,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
24158.05,62.9,19.8,36.1,33.9,78.8,12.81,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
18697.17,66.8,10.5,27.9,91.4,95.5,11.33,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
22304.35,84.8,11.8,31.8,9.1,59.9,11.81,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
20102.49,99.9,16.1,27.0,37.4,79.2,8.78,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
13838.1728515625,92.2,21.287111282348633,52.95707702636719,26.7,54.6,13.94,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False
11520.02,80.8,23.3,18.5,27.8,81.0,9.5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
10424.44,73.6,26.3,43.9,76.0,70.8,8.22,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False
9927.3,48.4,26.9,12.3,49.9,94.9,4.27,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
13127.46,41.4,24.3,44.2,18.1,63.910682678222656,10.19,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
8188.12,77.7,29.4,62.2,6.1,84.1,12.73,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
12695.31,89.1,10.8,14.1,10.5,67.6,9.51,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
8232.3,92.4,23.6,43.6739501953125,86.0,68.6,3.89,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
6615.56,91.4,24.0,14.6,77.2,74.1,8.62,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
16161.060546875,86.1,12.4,84.1,47.6,76.5,11.83,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
5934.75,56.1,19.4,13.8,91.9,75.3,12.17,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
12624.09,42.4,12.3,45.5,16.2,61.3,13.58,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
8611.18,43.3,25.8,88.2,75.8,96.2,10.19,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
9099.77,86.2,24.5,66.2,63.0,60.5,9.35,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
14711.34,83.0,11.4,25.0,71.8,94.2,7.16,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False
17373.78125,54.2,24.4,60.9,33.0,61.8,14.92,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
24698.58,91.0,29.4,32.8,18.0,59.8,8.17,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
24114.431640625,78.84345245361328,13.7,66.45808410644531,39.4,87.1,8.19,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
5921.11,82.5,28.1,55.7,91.2,82.0,13.51,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False
7349.01,56.3,22.0,81.7,17.9,61.5,2.54,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
15464.38,89.5,12.2,21.6,49.712398529052734,93.7,1.84,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
23861.46,55.67980194091797,10.4,70.3,53.3,85.6,9.99,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
22278.46,81.5,22.2,50.412940979003906,59.0,53.4,1.09,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
17027.39,94.2,28.5,32.2,17.9,98.8,4.0,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
15914.06,84.8,28.4,30.1,76.8,76.37684631347656,7.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
12796.86,43.3,10.4,93.0,47.7,52.9,1.82,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
23683.21,56.6,11.3,36.6,6.1,81.8,2.71,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
15499.02,73.8,12.0,88.6,22.4,92.23719024658203,12.68,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
9524.96,75.4,11.0,83.9,94.7,60.8,12.53,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
12704.62,42.7,21.0,63.7,32.6,53.2,9.62,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
11552.498046875,43.7,20.2,42.3,45.4,97.7,7.79,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
17121.158203125,98.5,15.5,78.9,58.9,56.9,3.88,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
10827.48,54.7,10.9,29.323108673095703,70.8,74.1762466430664,8.61,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
7547.66,74.2,14.4,45.0,29.1,83.8,5.34,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
12860.85,94.2,16.6,70.0,83.3,77.1,11.4,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
24366.72,88.7,15.5,23.7,52.6,77.05216979980469,4.27,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
23547.908203125,79.8,10.2,60.739349365234375,23.5,86.9,11.65,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
17062.45,45.6,23.0,77.9,21.1,89.18995666503906,12.71,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
8374.71484375,54.9,22.3,66.7,92.4,76.9,12.13,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
18756.66,46.3,18.3,77.2,8.2,73.3,10.54,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
9283.35,83.7,28.3,20.1,55.2,79.6,11.51,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
8089.92,82.0,27.5,60.7,62.93583297729492,96.0076675415039,4.03,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
21657.87890625,99.6,19.3,15.8,81.5,62.4,1.49,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
20832.55,80.4,21.1,23.5,64.7,91.8,8.99,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
6794.44,49.0,11.3,48.8,71.0,66.0,14.61,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
8653.6,48.8,17.2,33.1,69.6,54.9,11.48,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
18879.04,77.1,11.9,73.1,25.6,68.7,12.39,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
12468.53,71.7,16.5,20.745588302612305,14.0,56.6,9.27,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
7551.26,77.09678649902344,12.4,73.1,16.1,59.0,10.38,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
23947.18,94.2,25.2,57.443302154541016,51.1,66.85321807861328,7.14,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
20187.31,77.5,23.57583236694336,63.8,14.3,57.9,11.36,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
7243.24,41.1,13.1,29.5,86.2,88.4,11.96,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
12160.9228515625,47.1,24.0,38.6,37.9,82.8,13.19,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
22658.61,73.8,26.2,44.8,65.1,71.4,9.73,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
11060.5,96.7,20.0,62.9,63.2,86.6,7.94,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
15462.82,85.2,11.613858222961426,71.9,31.4,96.0,6.73,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
16569.84,42.2,11.4,71.9,53.9,50.2,2.45,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
7863.12,93.0,22.9,27.254056930541992,93.7,89.2,4.89,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
23247.72,59.8,16.2,12.1,64.6,60.8,7.8,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
9136.39,42.9,26.0,88.5,12.7,57.8,7.15,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
20783.330078125,43.3,23.7,13.0,19.1,71.1,2.92,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
11798.04,48.2,17.5,49.80393600463867,38.7,64.5,2.28,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
20599.08,84.8,27.1,59.6,28.3,82.3,4.66,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
19274.69,64.5,10.2,39.6,27.2,50.5,10.54,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
6709.35,61.8,12.5,64.4,69.3,77.9,6.65,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
10819.98,80.1,29.3,90.4,26.9,71.9,1.11,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
17487.74,73.7,24.5,27.2,35.6,77.3,9.91,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
